id,server,repo,category,D1_schema,D2_auth,D3_sideeffect,D4_allowlist,D5_audit,D6_versioning,total,notes
R01,filesystem,modelcontextprotocol/servers/src/filesystem,reference,1,0,1,2,0,1,5,Reference; allow-list via command-line + Roots; no auth (stdio transport assumes host trust)
R02,everything,modelcontextprotocol/servers/src/everything,reference,1,0,0,0,0,1,2,Reference test server; not intended for production by author statement
R03,fetch,modelcontextprotocol/servers/src/fetch,reference,1,0,1,1,0,1,4,Reference; explicit caution about local IPs (prose-level allow-list guidance)
R04,git,modelcontextprotocol/servers/src/git,reference,1,0,1,0,0,1,3,Reference; commits/push side effects in prose; no allow-list of repos
R05,memory,modelcontextprotocol/servers/src/memory,reference,1,0,1,0,0,1,3,Reference; persistent KG memory CRUD in features
R06,sequentialthinking,modelcontextprotocol/servers/src/sequentialthinking,reference,1,0,0,0,0,1,2,Reference; conceptual reasoning tool no I/O
R07,time,modelcontextprotocol/servers/src/time,reference,1,0,0,0,0,1,2,Reference; read-only timezone API
C01,github-mcp-server,github/github-mcp-server,dev_tools,2,2,2,2,0,1,9,Official; OAuth + PAT; --read-only flag; toolsets allow-list; tagged releases
C02,sentry-mcp,getsentry/sentry-mcp,observability,2,2,1,0,0,0,5,OAuth + API key; no read-only flag; no allow-list; no tagged release at audit time
C03,cloudflare-mcp-server,cloudflare/mcp-server-cloudflare,cloud_platform,1,1,0,0,0,1,3,Wrangler-typed inputs; API key; no read-only flag or allow-list documented
C04,stripe-agent-toolkit,stripe/agent-toolkit,payments,2,2,1,1,0,0,6,Restricted keys serve as scoped tokens (OAuth-like); typed action surface
C05,supabase-mcp,supabase-community/supabase-mcp,data_store,2,2,2,1,0,1,8,OAuth; --read-only flag; --features partial allow-list; tagged releases
C06,playwright-mcp,microsoft/playwright-mcp,browser_automation,2,1,2,2,0,1,8,Typed; --vision/--browser/--isolated mode flags; --allowed-origins/--blocked-origins
C07,notion-mcp-server,makenotion/notion-mcp-server,knowledge_management,2,2,1,0,0,1,6,Standard OAuth (recently introduced); typed; no read-only flag visible
C08,elasticsearch-mcp,elastic/mcp-server-elasticsearch,search,2,1,1,0,0,1,5,Deprecated as of audit; superseded by Elastic Agent Builder
C09,heroku-mcp-server,heroku/heroku-mcp-server,cloud_platform,2,1,0,0,0,1,4,Heroku CLI typed; API key auth; no read-only flag
C10,snowflake-mcp,snowflake-labs/mcp,data_store,2,2,2,2,0,1,9,OAuth + JWT/key-pair; sql_statement_permissions for granular allow; service config selects enabled tools
C11,aws-mcp,awslabs/mcp,cloud_platform,2,2,1,1,2,1,9,Suite of MCP servers; IAM auth; CloudWatch/OTel-compatible observability; namespace selection
C12,grafana-mcp,grafana/mcp-grafana,observability,2,1,2,2,2,1,10,Service-account API key; --read-only / --write-mode; --enabled-tools / --datasource allow-list; Tempo/OTel ecosystem
C13,membrane-mcp,membranehq/mcp-server,integration,1,1,0,0,0,0,2,Connector-style server; minimal hardening documented
C14,mongodb-mcp,mongodb-js/mongodb-mcp-server,data_store,2,1,2,1,0,1,7,Connection-string auth; --readOnly flag; --namespaces possible
C15,apify-mcp,apify/actors-mcp-server,scraping_automation,2,2,1,2,0,1,8,OAuth + APIFY_TOKEN; --actors allow-list; --enable-actor-auto-loading
C16,clickhouse-mcp,ClickHouse/mcp-clickhouse,data_store,2,2,2,0,0,1,7,OAuth + HTTP basic; queries default to readonly user context per docs
C17,brave-search-mcp,brave/brave-search-mcp-server,search,2,1,0,0,0,1,4,API key; Brave Search API is read-only but not flagged at the MCP layer
